city,link,name
Birmingham,http://www.lapidaryclub.com/,Alabama Mineral & Lapidary Society
Dothan,http://www.wiregrassrockhounds.com/,Dothan Gem & Mineral Club
Huntsville,http://huntsvillegms.org/,Huntsville Gem and Mineral Society
Mobile,http://www.mobilerockandgem.com/,Mobile Rock & Gem Society
Montgomery,http://montgomerygemandmineralsociety.com/mgms/,Montgomery Gem & Mineral Society
Anchorage,http://www.chugachgemandmineralsociety.com/,Chugach Gem & Mineral Society
Palmer,http://matsurockclub.com/,Mat-Su Rock and Mineral Club
Apache Junction,http://www.ajrockclub.com/,Apache Junction Rock and Gem Club
Black Canyon City,http://www.bccrockclub.mysite.com/,Black Canyon City Rock Club
Anthem,http://www.dmrmc.com/,Daisy Mountain Rock & Mineral Club
Miami,http://gilagem.org/,Gila County Gem & Mineral Society
Sierra Vista,http://www.huachucamineralandgemclub.info/,Huachuca Mineral and Gem Club
Lake Havasu City,http://www.lakehavasugms.org/,Lake Havasu Gem & Mineral Society
Scottsdale,http://www.msaaz.org/,Mineralogical Society of Arizona
Cottonwood,http://www.mingusclub.org/,Mingus Gem & Mineral Club
Kingman,http://www.gemstoners.org/,Mohave County Gemstoners
Tucson,http://www.lapidaryclub.org/,Old Pueblo Lapidary Club
Prescott Valley,http://www.prescottgemmineral.org/,Prescott Gem & Mineral Club
Quartzsite,http://www.qrgmc.org/,Quartzsite Roadrunners Gem & Mineral Club
Phoenix,http://rockhounds.scwclubs.com/,Rockhounds West
Sedona,http://www.sedonagemandmineral.org/,Sedona Gem & Mineral Club
Bullhead City,http://scrrc.blogspot.com/,Silvery Colorado River Rock Club
Pearce,https://sites.google.com/site/cochisecountyrock/,Sunsites Gem and Mineral Club
Tucson,http://www.tgms.org/,Tucson Gem and Mineral Society
Cottonwood,http://www.verderiverrockhounds.com/,Verde River Rockhounds
Buckeye,http://www.westvalleyrockandmineralclub.com/,West Valley Rock & Mineral Club
Show Low,http://whitemountain-azrockclub.org/,White Mountain Gem & Mineral Club
Wickenburg,http://www.wickenburggms.org/,Wickenburg Gem and Mineral Society
Little Rock,http://www.centralarrockhound.org/,"Central Arkansas Gem, Mineral and Geology Society"
Siloam Springs,http://www.nwarockhounds.org/,Northwest Arkansas Gem & Mineral Society
Mountain Home,https://www.ozarkearthscience.com/,"Ozark Earth Science Gem, Mineral & Fossil Club"
Sutter Creek,http://www.amadorgemandmineral.org/,Amador County Gem & Mineral Society
Anaheim,http://www.opalsociety.org/,American Opal Society
Lancaster,http://avgem.weebly.com/,Antelope Valley Gem and Mineral Club
Antioch,http://www.antiochlapidaryclub.com/,Antioch Lapidary Club
Borrego Springs,http://www.abdnha.org/bragclub.html,Borrego Rock and Gem Club
Angels Camp,http://www.calaverasgemandmineral.org/,Calaveras Gem & Mineral Society
Pacific Grove,http://www.cvgms.rocks/,Carmel Valley Gem and Mineral Society
San Luis Obispo,http://www.cctha.org/,Central Coast Treasure Hunters Association
Coalinga,https://sites.google.com/site/coalingarockhounds/,Coalinga Rockhound Society
Thousand Oaks,http://www.cgamc.org/,Conejo Gem & Mineral Club
Concord,http://www.ccmgs.org/,Contra Costa Mineral & Gem Society
Culver City,http://culvercityrocks.org/,The Culver City Rock and Mineral Club
Northridge,http://delairrockhounds.blogspot.com/,Del Air Rockhounds Club
Bellflower,https://delversgemclub.wordpress.com/,Delvers Gem & Mineral Society
El Cajon,http://www.ecvgms.org/,El Cajon Valley Gem & Mineral Society
Placerville,http://www.eldoradomineralandgem.org/,El Dorado County Mineral and Gem Society
Buena Park,http://www.fgosc.com/,Faceters Guild of Southern California
Fallbrook,http://www.fgms.org/FGMS/Home.html,"Fallbrook Gem and Mineral Society, Inc."
Oroville,http://www.featherriverrocks.org/,Feather River Lapidary & Mineral Society
Yucca Valley,http://www.firstclassminers.org/,First Class Miners
North Highlands,https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/,"Fossils for Fun Society, Inc."
Fresno,http://fgms.us/,Fresno Gem & Mineral Society
Placerville,https://goldcountrytreasureseekers.shutterfly.com/,Gold Country Treasure Seekers
Yucca Valley,http://www.hi-desertrockhounds.org/,Hi-Desert Rockhounds of Morongo Valley
Ridgecrest,http://indianwells.weebly.com/,Indian Wells Valley Gem & Mineral Society
Bakersfield,http://kerncountymineralsociety.org/,Kern County Mineral Society
Lemoore,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/,Lemoore Gem and Mineral Club
Livermore,http://www.lithophiles.com/,Livermore Valley Lithophiles
Lone Pine,http://lpgms.org/,Line Pine Gem & Mieral Society
Mariposa,http://mariposagmc.org/,Mariposa Gem & Mineral Club
Hayward,http://www.mgscv.org/,Mineral & Gem Society of Castro Valley
Pasadena,http://www.mineralsocal.org/,Mineralogical Society of Southern California
Barstow,http://www.mdgms.net/,Mojave Desert Gem & Mineral Society
Monrovia,http://www.moroks.com/,Monrovia Rock Hounds Inc.
Modesto,http://www.motherlodemineralsociety.com/,Mother Lode Mineral Society
Mohave Valley,http://needlesgemmineralclub.blogspot.com/,Needles Gem & Mineral Club
Grass Valley,http://www.ncgms.org/,Nevada County Gem & Mineral Society
Orinda,http://www.ncgeolsoc.org/,Northern California Geological Society
La Habra,http://www.nocgms.com/,North Orange County Gem & Mineral Society
San Bernardino,http://obmsrocks.yolasite.com/,Orange Belt Mineralogical Society
Santa Maria,http://www.omsinc.org/,Orcutt Mineral Society
Oxnard,http://oxnardgem.com/home/,Oxnard Gem & Mineral Society
Palmdale,https://www.facebook.com/palmdalegemandmineralclub/,Palmdale Gem & Mineral Club
Escondido,http://palomargem.org/,Palomar Gem & Mineral Club
Rolling Hills Estates,http://www.palos-verdes-gem-and-mineral-society.org/,Palos Verdes Gem & Mineral Society
